"id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","dist_meters","wait_sec"
151,"Monterrey","2016-09-18 08:41:46","2016-09-18 09:14:08",0.124901757103978,0.594108132840623,-100.17626868,25.60977666,"N",1943,14873,475
152,"Rumiñahui","2016-09-18 09:03:53","2016-09-18 09:16:48",0.567609495423761,0.684598770946007,-78.47484396,-0.311346339999995,"N",776,5373,202
153,"México DF Taxi Libre","2016-09-18 08:46:39","2016-09-18 08:53:10",0.119242370814025,0.272098676772747,-99.2901493567215,19.3256891263797,"N",391,3309,34
154,"Rumiñahui","2016-09-18 09:17:02","2016-09-18 09:29:17",0.496480891227177,0.709228753740578,-78.44028422,-0.322730559999994,"N",736,6918,170
155,"Rumiñahui","2016-09-18 07:42:56","2016-09-18 09:32:00",0.687220175504275,0.541029288959476,-78.5536065590298,-0.254444108725938,"N",6544,2709,955
156,"Quito","2016-09-18 09:35:01","2016-09-18 09:43:45",0.48432668543304,0.0810280116185294,-78.4609456663793,-0.163567869827596,"N",524,4494,126
157,"Monterrey","2016-09-18 09:07:36","2016-09-18 09:44:20",0.150755270980938,0.597952714223891,-100.244860741694,25.6933598190062,"N",2204,25048,2086
158,"México DF Taxi Libre","2016-09-18 09:34:44","2016-09-18 09:44:57",0.119709494761767,0.273041897147746,-99.2712829840518,19.3247660734192,"N",613,5651,34
159,"México DF Taxi Libre","2016-09-18 09:46:27","2016-09-18 09:47:55",0.118874061547536,0.262325112783567,-99.2733927406373,19.3272630681467,"N",88,602,20
160,"Monterrey","2016-09-18 09:47:28","2016-09-18 09:49:35",0.157429753541946,0.622798704862691,-100.229803584997,25.6924408671624,"N",127,1403,35
161,"Ecuador","2016-09-18 09:00:00","2016-09-18 09:32:22",0.767996685852302,0.421584541789631,-79.92004492,-2.08863228,"N",1943,16989,740
162,"Rumiñahui","2016-09-18 09:39:10","2016-09-18 09:52:35",0.548690975540204,0.700174420573341,-78.4545834818182,-0.310150751515163,"N",806,6528,161
163,"México DF Taxi Libre","2016-09-18 09:48:17","2016-09-18 09:59:25",0.118963893075948,0.265244606515538,-99.279939547587,19.3433856861646,"N",668,3931,21
164,"Quito","2016-09-18 09:45:29","2016-09-18 10:01:10",0.460548279862396,0.141888754099936,-78.488051616895,-0.234531562100473,"N",942,15927,34
165,"Bogotá","2016-09-18 10:08:31","2016-09-18 10:11:42",0.366710265283271,0.767892848223936,-74.05064132,4.71874529999999,"N",191,2458,0
166,"Quito","2016-09-18 10:11:20","2016-09-18 10:12:03",0.605150091147116,0.377711891676987,-78.4976204410959,-0.207362294520561,"N",44,38,31
167,"Bogotá","2016-09-18 10:11:54","2016-09-18 10:17:01",0.366728231588953,0.765656243466997,-74.03031266,4.71093197999999,"N",308,2358,93
168,"México DF Taxi Libre","2016-09-18 10:04:22","2016-09-18 10:30:16",0.118847112089013,0.276599184751292,-99.2697263888128,19.3360382826761,"N",1555,6172,310
169,"Monterrey","2016-09-18 02:36:05","2016-09-18 03:20:06",0.141933814890884,0.669526092963217,-100.33123694,25.7963286,"N",2641,33001,439
170,"Quito","2016-09-18 11:45:54","2016-09-19 12:04:24",0.440138556607201,0.0603667759242584,-78.4332632911779,-0.102895942204024,"N",1110,1722,553
171,"Monterrey","2016-09-18 08:35:40","2016-09-18 08:54:21",0.150189332351943,0.642686192377016,-100.2541333,25.74513934,"N",1121,11115,160
172,"México DF Taxi Libre","2016-09-18 11:56:29","2016-09-19 12:08:58",0.11943101702369,0.264930199531194,-99.2972409614789,19.3216481604953,"N",750,2148,226
173,"México DF Taxi Libre","2016-09-19 12:14:12","2016-09-19 12:15:32",0.120185601862351,0.260357822776529,-99.3015523428368,19.319171629837,"N",81,442,16
174,"Monterrey","2016-09-19 12:06:01","2016-09-19 12:20:03",0.143299254122746,0.64217418485172,-100.193799568846,25.7128334186189,"N",843,6492,205
