,"id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","dist_meters","wait_sec"
654,655,Monterrey,2016-09-21,2016-09-21,0.14560792440293302,0.643153286916741,-100.21010334,25.72179566,N,1022,5290,559
655,656,Quito,2016-09-21,2016-09-21,0.6019251392771271,0.37055247150443005,-78.4969579,-0.204507399999989,N,200,171,137
656,657,Quito,2016-09-20,2016-09-20,0.603667870928318,0.556722136826756,-78.54632940683959,-0.33509375636794103,N,12340,41360,7289
657,658,Quito,2016-09-21,2016-09-21,0.615426817997443,0.109109308463024,-78.4741585745882,-0.12626406570134402,N,1255,7843,418
658,659,Ecuador,2016-09-21,2016-09-21,0.730276427072124,0.152273244554538,-78.67224770000001,-1.65849745600001,N,1624,10552,229
659,660,Monterrey,2016-09-21,2016-09-21,0.12882739489558098,0.580661059738191,-100.12743034,25.655907,N,1009,6590,3971
660,661,Manta,2016-09-21,2016-09-21,0.7775727267810171,0.0204456554326432,-80.72202289276659,-0.949054070664614,N,719,2718,395
661,662,Monterrey,2016-09-20,2016-09-20,0.16154403754321398,0.630415962916465,-100.23545186,25.69498678,N,603,5266,198
662,663,Quito,2016-09-21,2016-09-21,0.4934805181782179,0.0740121756753879,-78.50253268,-0.18683672000002202,N,1972,10626,700
663,664,México DF Radio Taxi,2016-09-21,2016-09-21,0.104887292573795,0.24151134895111498,-99.2006124887851,19.3039567046729,N,1416,4184,570
664,665,Quito,2016-09-21,2016-09-21,0.603245662744782,0.5551681245429829,-78.5027469,-0.205542960000005,N,1642,10273,370
665,666,Quito,2016-09-21,2016-09-21,0.635270602623643,0.179510049547976,-78.45121926506971,-0.0960994731372928,N,1811,17392,197
666,667,México DF Taxi Libre,2016-09-21,2016-09-21,0.0150108483976372,0.33471037109197105,-99.06492412,19.446892000000002,N,3141,406,867
667,668,Monterrey,2016-09-20,2016-09-21,0.214338026790918,0.607833635292103,-100.44791442,25.69688516,N,47512,3192,50
668,669,Guadalajara Easy Taxi,2016-09-21,2016-09-21,0.32722032539337703,0.39077310216415295,-103.37749732,20.67135,N,803,2995,417
669,670,Monterrey,2016-09-21,2016-09-21,0.14964136002863002,0.646800215889249,-100.09374166,25.817037,N,918,16434,54
670,671,Monterrey,2016-09-21,2016-09-21,0.215290240992084,0.618657714430042,-100.454207715517,25.682375607758605,N,410,2898,66
671,672,Bogotá,2016-09-21,2016-09-21,0.386275572171394,0.752559956160926,-74.139789612979,4.572461081095731,N,838,7281,64
672,673,Bogotá,2016-09-21,2016-09-21,0.3868235444947071,0.7451494880615191,-74.144992841833,4.57005627726195,N,181,926,70
673,674,México DF Taxi Libre,2016-09-21,2016-09-21,0.052461612592580004,0.24237372393524104,-99.14915450000001,19.299412445999998,N,454,1605,185
674,675,Quito,2016-09-21,2016-09-21,0.6263682981580191,0.3733551561318,-78.4964255206318,-0.258705002868927,N,1968,13306,643
675,676,Quito,2016-09-21,2016-09-21,0.53332978418176,0.20913631689469897,-78.4612424497941,-0.15178293444325197,N,1136,7427,141
676,677,Quito,2016-09-21,2016-09-21,0.43270050605469107,0.0627473100531094,-78.47115747263341,-0.233379528286457,N,1798,22798,255
677,678,Bogotá,2016-09-21,2016-09-21,0.38443402583894903,0.761784848541605,-74.05568766,4.65680829999997,N,3377,11253,1744
678,679,Monterrey,2016-09-20,2016-09-21,0.21079866457148702,0.581658138409896,-100.40727332,25.65804766,N,50685,3285,85
679,680,Monterrey,2016-09-21,2016-09-21,0.21404158274715804,0.625098255629989,-100.454558818951,25.6907083180745,N,586,3224,87
680,681,Quito,2016-09-21,2016-09-21,0.6172593811770469,0.105704699518872,-78.47411500899429,-0.173146901918274,N,1042,5814,357
681,682,Monterrey,2016-09-21,2016-09-21,0.22044657072293103,0.6261761697057521,-100.43154708982401,25.693623975061197,N,1013,4579,104
682,683,Monterrey,2016-09-21,2016-09-21,0.212909705489168,0.6154419322107441,-100.4384774725,25.67810294,N,2128,20267,431
683,684,Monterrey,2016-09-21,2016-09-21,0.123491402107911,0.6680709213441861,-100.092574,25.79674932,N,419,4510,229
684,685,Quito,2016-09-21,2016-09-21,0.703398833771268,0.670837543558524,-78.5235172,-0.251566620000008,N,748,3639,332
685,686,Quito,2016-09-20,2016-09-21,0.56000974812011,0.37612190802873796,-78.4872960400668,-0.20619863178601,N,54070,6393,218
686,687,Quito,2016-09-01,2016-09-01,0.5101263003929529,0.18687619722091803,-78.5259066038293,-0.311446290308028,N,1679,23091,217
687,688,Monterrey,2016-09-21,2016-09-21,0.15080916989798498,0.642470610267359,-100.18386566,25.74753598,N,353,2410,159
688,689,Guadalajara Easy Taxi,2016-09-21,2016-09-21,0.33548482600727597,0.399908751115474,-103.41040452497101,20.7127394513112,N,1225,14584,95
689,690,Quito,2016-09-21,2016-09-21,0.6348394112872661,0.17613240034720604,-78.49797415260059,-0.19158668772579202,N,793,3317,323
690,691,Monterrey,2016-09-21,2016-09-21,0.21518244315798998,0.6230053051680121,-100.34822840000001,25.69417304,N,1773,13787,424
691,692,Ecuador,2016-09-21,2016-09-21,0.7546028049660799,0.408999475279903,-79.9054234790997,-2.16428933601287,N,687,7446,42
692,693,Monterrey,2016-09-21,2016-09-21,0.15051272585422598,0.642820931190934,-100.1956593,25.74596468,N,152,707,148
693,694,Quito,2016-09-21,2016-09-21,0.545439074211691,0.116592260259742,-78.529810061,-0.271785810747197,N,2638,15898,372
694,695,Quito,2016-09-21,2016-09-21,0.5610787433082121,0.374603787777884,-78.4910512376707,-0.17956919802439,N,1589,3850,140
695,696,Quito,2016-09-21,2016-09-21,0.66575942336666,0.41870102725445596,-78.4926308176715,-0.199604014968847,N,1665,6207,614
696,697,Bogotá,2016-09-21,2016-09-21,0.3776158128324821,0.760105147108185,-74.05300866,4.68206700000001,N,1028,5594,143
697,698,México DF Taxi Libre,2016-09-21,2016-09-21,0.00607261132064797,0.275045117317465,-99.04093262055521,19.3421927198015,N,24,100,13
698,699,Bogotá,2016-09-21,2016-09-21,0.38759609563905,0.745266259170984,-74.12769120319321,4.56759040198297,N,7666,2513,3246
699,700,Bogotá,2016-09-21,2016-09-21,0.38468555411850297,0.7457962203211931,-74.1004662100947,4.5876187954260805,N,1137,3681,278
700,701,Monterrey,2016-09-21,2016-09-21,0.149919837766707,0.643467677448254,-100.191239,25.73895766,N,269,1989,97
701,702,Guadalajara Easy Taxi,2016-09-21,2016-09-21,0.326393875331987,0.391725294164709,-103.37365632,20.67204934,N,998,5564,429
702,703,Quito,2016-09-21,2016-09-21,0.624445903450003,0.10362061153698598,-78.50202124,-0.14305702000000697,N,1576,8367,555
703,704,Quito,2016-09-21,2016-09-21,0.517456553111368,0.00993536699256068,-78.52970859999999,-0.23704600000002202,N,15846,18184,589
704,705,Ecuador,2016-09-21,2016-09-21,0.778938166012878,0.035564299814556,-80.6604412582402,-1.05144305057729,N,2941,15544,1196
705,706,Quito,2016-09-21,2016-09-21,0.558572443665518,0.37479242995357104,-78.4815750800405,-0.18786958821228894,N,5809,2667,5440
706,707,Quito,2016-09-21,2016-09-21,0.646813954024579,0.199362708717106,-78.47850686670292,-0.18613618324266,N,1038,4938,433
707,708,Quito,2016-09-21,2016-09-21,0.510880885231613,0.236193368680785,-78.4939093359116,-0.189794689720853,N,2135,8617,1009
708,709,Quito,2016-09-21,2016-09-21,0.5585185447484711,0.377110033494001,-78.49629319612859,-0.213732343233793,N,436,1371,83
709,710,Quito,2016-09-21,2016-09-21,0.6026168420458989,0.371019585670747,-78.4973921411765,-0.204519923529438,N,13185,2227,3329
710,711,Quito,2016-09-21,2016-09-21,0.465668676981877,0.0852590721509476,-78.48574152,-0.17624677999999802,N,1702,6882,698
711,712,Quito,2016-09-21,2016-09-21,0.5867795435868709,0.217283980102206,-78.4775021714634,-0.18777162060973102,N,1539,4632,769
712,713,Quito,2016-09-21,2016-09-21,0.626431180227907,0.106324536003868,-78.4864155347915,-0.17731982086560302,N,1071,5181,440
713,714,Quito,2016-09-21,2016-09-21,0.6396004822930991,0.177911056120402,-78.4807393090385,-0.189339612499995,N,1748,6291,832
714,715,Quito,2016-09-21,2016-09-21,0.506371342505333,0.21227141603649802,-78.4882700134514,-0.182288210294996,N,968,2758,645
715,716,México DF Taxi de Sitio,2016-09-20,2016-09-21,0.0720718352449092,0.329652941042663,-99.1855511073963,19.4402241653936,N,53943,724,335
716,717,Panamá Uber,2016-09-19,2016-09-21,0.7500124138642299,0.00284765944947548,-79.5259407381066,8.98372266475845,N,159929,75,1370
717,718,Bogotá,2016-09-19,2016-09-21,0.369899284541895,0.7572307901993629,-74.08021692765959,4.73222724680849,N,173822,11645,895
718,719,Bogotá,2016-09-19,2016-09-21,0.369899284541895,0.7572307901993629,-74.08021692765959,4.73222724680849,N,173822,11645,895
719,720,Panamá Uber,2016-09-21,2016-09-21,0.74798222132212,0.0032608844795887,-79.50580480248941,8.99275238232901,N,199,1245,38
720,721,México DF Taxi de Sitio,2016-09-21,2016-09-21,0.0744523707478259,0.32877260659645396,-99.181382470284,19.4453139303776,N,329,1088,182
721,722,Monterrey,2016-09-21,2016-09-21,0.213242082144292,0.620912353874689,-100.46488522,25.67917248,N,854,5842,127
722,723,Bogotá,2016-09-21,2016-09-21,0.385170644371927,0.7476825222021679,-74.1264816179523,4.5955792588435305,N,118,558,23
723,724,México DF Taxi de Sitio,2016-09-21,2016-09-21,0.0734642239352945,0.331817844808542,-99.1843209488916,19.436988808951302,N,290,812,173
724,725,Quito,2016-09-21,2016-09-21,0.5655074376589211,0.175898839475453,-78.4926665307426,-0.198917102589077,N,647,3247,292
725,726,Quito,2016-09-20,2016-09-21,0.700919483587098,0.684266418005245,-78.550589730309,-0.286444097989612,N,98261,846,485
726,727,Bogotá,2016-09-21,2016-09-21,0.376421053504603,0.765476596447908,-74.0821922885714,4.71402031714284,N,292,663,125
727,728,Bogotá,2016-09-21,2016-09-21,0.384407076380426,0.7474938920505041,-74.09837305798821,4.58257995857988,N,1857,5713,1100
728,729,Ambato,2016-09-21,2016-09-21,0.7206734366848859,0.0774078044843705,-78.62729674,-1.24302460000002,N,843,3748,358
729,730,Monterrey,2016-09-21,2016-09-21,0.21712280417168803,0.6194481857390041,-100.44756398,25.690456,N,11482,46773,3127
730,731,Quito,2016-09-21,2016-09-21,0.609947094764314,0.243730167809501,-78.5038833162338,-0.12493491580086,N,1101,9423,267
731,732,Guadalajara Easy Taxi,2016-09-21,2016-09-21,0.335790253203877,0.40276532363814793,-103.403111509487,20.7302247262233,N,1677,13170,350
732,733,Panamá UberX,2016-09-21,2016-09-21,0.7450267640373659,0.00780635979484225,-79.47556170000001,9.03116499999999,N,2256,907,5
733,734,Monterrey,2016-09-21,2016-09-21,0.219395541840511,0.6184421313253411,-100.426795186877,25.6827783520915,N,3133,8029,2262
734,735,Quito,2016-09-21,2016-09-21,0.5349108190818099,0.103413999358858,-78.47832001485021,-0.142255398470363,N,61,573,22
735,736,Quito,2016-09-21,2016-09-21,0.626017955197212,0.10627063717957999,-78.5053569,-0.145404979999987,N,1304,5358,618
736,737,Ecuador,2016-09-21,2016-09-21,0.762454080549285,0.414002962363493,-79.9334300989624,-2.13987928169411,N,600,4222,209
737,738,México DF Taxi de Sitio,2016-09-21,2016-09-21,0.0722784477602567,0.33129683066738896,-99.1794732033018,19.438009391852397,N,1506,2960,1161
738,739,Ecuador,2016-09-21,2016-09-21,0.5884054942511279,0.0737247150233739,-78.49058736,-0.116071560000012,N,399,1049,272
739,740,Quito,2016-09-21,2016-09-21,0.646813954024579,0.199362708717106,-78.47850686670292,-0.18613618324266,N,1038,4938,433
740,741,Quito,2016-09-21,2016-09-21,0.493228989898664,0.134351910770924,-78.47127642,-0.149503100000008,N,283,1536,105
741,742,Guadalajara Easy Taxi,2016-09-21,2016-09-21,0.33640110759707803,0.40173228652029797,-103.39075014,20.721601999999997,N,1715,13876,417
742,743,México DF Taxi Libre,2016-09-21,2016-09-21,0.0837768833969866,0.350232981857006,-99.17989205384609,19.4772642538462,N,468,1743,156
743,744,Quito,2016-09-21,2016-09-21,0.571238689171604,0.0608159333151587,-78.50410781978441,-0.137362335373581,N,7855,5187,7201
744,745,México DF Taxi de Sitio,2016-09-21,2016-09-21,0.0721616667733212,0.330039210213896,-99.15096095859329,19.4265738516793,N,1936,6614,1058
745,746,Monterrey,2016-09-21,2016-09-21,0.21093341186410502,0.620436274709374,-100.43326985946999,25.689101539619003,N,2560,5425,1598
746,747,Monterrey,2016-09-21,2016-09-21,0.12964486180412899,0.6204542399616689,-100.164908595481,25.694993793449697,N,1171,6149,1107
747,748,Monterrey,2016-09-21,2016-09-21,0.14806930828142098,0.6305866324863,-100.1957896,25.71513998,N,222,1014,56
748,749,Monterrey,2016-09-21,2016-09-21,0.212810890807915,0.620445257335528,-100.43156984,25.68895694,N,1861,226,13
749,750,Quito,2016-09-21,2016-09-21,0.636860620676535,0.18101921175589603,-78.475552232465,-0.169016454229318,N,1962,9257,906
750,751,Bogotá,2016-09-21,2016-09-21,0.37452560825511105,0.7624585254032091,-74.0710524424657,4.704746710958879,N,1695,3828,1091
751,752,Quito,2016-09-21,2016-09-21,0.5732598985608729,0.204033919249072,-78.47977662993759,-0.11351203139293901,N,1208,8620,396
752,753,Monterrey,2016-09-21,2016-09-21,0.21099629393399302,0.614040641027637,-100.40111678,25.66348854,N,939,6407,312
753,754,Quito,2016-09-19,2016-09-19,0.434452220858724,0.7963667892756191,-78.30851728,-0.12871561999998898,N,3322,36685,448
754,755,Bogotá UberX,2016-09-21,2016-09-21,0.378091919933065,0.7479160642834709,-74.08956398,4.600567899999991,N,24,73,1
755,756,Bogotá UberX,2016-09-21,2016-09-21,0.37859497649217205,0.748050800093953,-74.09499222,4.60442555999999,N,62,397,14
756,757,Ecuador,2016-09-21,2016-09-21,0.765104110637438,0.38005644330522204,-79.90739598,-2.1332952199999897,N,788,7090,251
757,758,Panamá UberX,2016-09-19,2016-09-21,0.745242359705555,0.0101689289628388,-79.52718047231849,8.99961151796358,N,217778,10021,24
758,759,Quito,2016-09-21,2016-09-21,0.648511769911565,0.11033101500932199,-78.463468301199,-0.131365534705459,N,1458,8710,460
759,760,México DF Taxi Libre,2016-09-21,2016-09-21,0.0619747714514058,0.24243660544234802,-99.149779254,19.30566258,N,6877,4491,6171
760,761,Quito,2016-09-20,2016-09-21,0.49815175765563896,0.14173604096941,-78.42315112,-0.22068882000002,N,61040,21858,96
761,762,Puebla UberX,2016-09-21,2016-09-21,0.00106899518810223,0.227147407726591,-98.22937958,19.044864699999998,N,5349,1387,306
762,763,México DF UberX,2016-09-21,2016-09-21,0.0542941757721839,0.345795386214798,-99.1514557915888,19.4661558904942,N,6343,16190,3753
763,764,México DF Taxi de Sitio,2016-09-21,2016-09-21,0.0717664080483086,0.329895482151935,-99.17552018907742,19.4422896882851,N,539,1998,204
764,765,Quito,2016-09-21,2016-09-21,0.608824200659164,0.139409411386233,-78.48311500003808,-0.171965371076929,N,4612,2748,2123
765,766,Quito,2016-09-21,2016-09-21,0.640274218756189,0.17865665419664398,-78.511410002,-0.196440688000014,N,588,3838,101
766,767,Puebla UberX,2016-09-21,2016-09-21,0.00136543923186167,0.22659045661654997,-98.2134922424051,19.054220506962,N,1159,6634,391
767,768,Lima UberX,2016-09-21,2016-09-21,0.41893831590197994,0.0706973949205601,-77.0248539845723,-12.1616929809186,N,116,1452,0
768,769,Monterrey,2016-09-21,2016-09-21,0.20165381497915,0.6118488771588829,-100.4034187,25.6809626,N,3787,20062,1415
769,770,Quito,2016-09-21,2016-09-21,0.6479817638939339,0.106207755217793,-78.4972773120253,-0.160500063291125,N,439,2961,145
770,771,México DF UberX,2016-09-21,2016-09-21,0.0258445307241186,0.32147840393282107,-99.0897503355372,19.4173078702479,N,334,339,316
771,772,Quito,2016-09-21,2016-09-21,0.5200706505881559,0.0623879841536991,-78.48084184,-0.18444241999998898,N,2162,8673,1197
772,773,Monterrey,2016-09-21,2016-09-21,0.20042312303990598,0.6111751790683481,-100.43093516,25.66768934,N,845,4216,58
773,774,Bogotá,2016-09-21,2016-09-21,0.36918063231459997,0.7641651729806079,-74.0627071272659,4.69079289239526,N,626,2318,81
774,775,Bogotá,2016-09-21,2016-09-21,0.37433696204544603,0.76253038426222,-74.0751514353559,4.6939889298291,N,1238,1564,1065
775,776,Monterrey,2016-09-21,2016-09-21,0.181342906405208,0.664855170189836,-100.344890301639,25.797069263934397,N,649,5320,92
776,777,Guadalajara Easy Taxi,2016-09-21,2016-09-21,0.330310529970748,0.39552507814361104,-103.41468062,20.74662506,N,21,125,0
777,778,Quito,2016-09-21,2016-09-21,0.641873219961922,0.181037177971899,-78.48785268634991,-0.166598593914426,N,887,5848,297
778,779,Quito,2016-09-21,2016-09-21,0.6395914991402579,0.180686836756563,-78.4926892022131,-0.17457430597033702,N,612,3942,202
779,780,México DF Taxi de Sitio,2016-09-21,2016-09-21,0.0723682792886686,0.332608348970294,-99.17250138917771,19.4475100560459,N,583,2111,211
780,781,Quito,2016-09-21,2016-09-21,0.5830425520049339,0.17213491579568901,-78.48086183810351,-0.18019092469481401,N,754,2112,196
781,782,Quito,2016-05-27,2016-09-21,0.6538836953106,0.10705217012254199,-78.4831824522074,-0.191436827624314,N,10106967,5883,545
782,783,México DF Radio Taxi,2016-09-21,2016-09-21,0.0630707160980316,0.32325704004256894,-99.18002980917429,19.3731143055046,N,3467,6529,974
783,784,Quito,2016-09-21,2016-09-21,0.571175807101715,0.0511770149312865,-78.3652478921801,-0.118150225118496,N,8041,19239,4690
784,785,Bogotá,2016-09-21,2016-09-21,0.387173887455514,0.758578145238113,-74.1403953953916,4.68177081593395,N,95,302,44
785,786,Bogotá,2016-09-21,2016-09-21,0.386625915132201,0.758057168006178,-74.1394079074709,4.67809978471132,N,52,140,18
786,787,Quito,2016-09-21,2016-09-21,0.606039423278394,0.0819263259943515,-78.49263668,-0.141809339999979,N,333,1803,140
787,788,Bogotá,2016-09-21,2016-09-21,0.36911775024471094,0.763895702355527,-74.0544862453857,4.7551236750535795,N,1671,6135,299
788,789,Monterrey,2016-09-21,2016-09-21,0.149973736683754,0.643674276929837,-100.182982077243,25.7771573901978,N,366,4517,170
789,790,Quito,2016-09-21,2016-09-21,0.616989886591811,0.37503496988775603,-78.54117272,-0.24194908000001603,N,4097,16801,1729
